,Latitude,Temperature,City,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
312,-8.75,71.11,Popondetta,148.25,71.11,95,68,0.98,PG,1595353210
313,70.37,55.4,Vardø,31.11,55.4,87,60,8.05,NO,1595352970
314,-21.15,64.24,Mackay,149.2,64.4,88,90,9.17,AU,1595352949
315,23.31,58.55,Gejiu,103.16,58.55,100,99,3.89,CN,1595353211
316,11.67,81.73,Port Blair,92.75,81.73,77,100,4.05,IN,1595352911
317,18.04,93.2,Pedernales,-71.74,93.2,52,20,11.41,DO,1595353211
318,-35.62,46.0,Ngunguru,174.5,46.0,3,55,3.0,NZ,1595353211
319,66.5,66.2,Rovaniemi,25.72,66.2,82,100,4.7,FI,1595353213
320,53.6,56.95,Navahrudak,25.83,56.95,80,4,8.77,BY,1595353213
321,30.85,73.99,Camalú,-116.07,73.99,51,12,7.0,MX,1595353213
322,54.67,62.6,Tsimmerbude,20.13,62.6,63,75,15.66,RU,1595353213
323,63.9,61.5,Kysyl-Syr,122.76,61.5,89,90,11.45,RU,1595353213
324,31.75,75.94,Taft,54.21,75.94,18,0,2.64,IR,1595353213
325,-12.36,87.85,São Desidério,-44.97,87.85,30,1,9.55,BR,1595353214
326,11.29,79.66,Tibiao,122.04,79.66,76,100,4.29,PH,1595353214
327,65.17,62.85,Puteyets,57.09,62.85,60,0,3.78,RU,1595353214
328,-4.13,73.4,Baturaja,104.17,73.4,96,97,2.51,ID,1595353216
329,4.85,78.4,Taiping,100.73,78.8,88,40,6.93,MY,1595353216
330,41.12,79.77,North Platte,-100.77,81.0,50,28,3.0,US,1595353216
331,23.61,78.46,Longhua,114.19,78.46,77,60,1.39,CN,1595353216
332,-21.76,86.29,Presidente Epitácio,-52.12,86.29,30,0,7.02,BR,1595353216
